location,date,vaccine,total_vaccinations
Chile,12/24/2020,Pfizer/BioNTech,420
Chile,12/25/2020,Pfizer/BioNTech,5198
Chile,12/26/2020,Pfizer/BioNTech,8338
Chile,12/27/2020,Pfizer/BioNTech,8649
Chile,12/28/2020,Pfizer/BioNTech,8649
Chile,12/29/2020,Pfizer/BioNTech,8649
Chile,12/30/2020,Pfizer/BioNTech,8649
Chile,12/31/2020,Pfizer/BioNTech,8649
Chile,1/1/2021,Pfizer/BioNTech,8649
Chile,1/2/2021,Pfizer/BioNTech,8649
Chile,1/3/2021,Pfizer/BioNTech,8649
Chile,1/4/2021,Pfizer/BioNTech,9054
Chile,1/5/2021,Pfizer/BioNTech,10497
Chile,1/6/2021,Pfizer/BioNTech,10702
Chile,1/7/2021,Pfizer/BioNTech,10702
Chile,1/8/2021,Pfizer/BioNTech,10702
Chile,1/9/2021,Pfizer/BioNTech,10702
Chile,1/10/2021,Pfizer/BioNTech,10702
Chile,1/11/2021,Pfizer/BioNTech,10702
Chile,1/12/2021,Pfizer/BioNTech,10702
Chile,1/13/2021,Pfizer/BioNTech,11732
Chile,1/14/2021,Pfizer/BioNTech,18646
Chile,1/15/2021,Pfizer/BioNTech,22077
Chile,1/16/2021,Pfizer/BioNTech,22167
Chile,1/17/2021,Pfizer/BioNTech,22167
Chile,1/18/2021,Pfizer/BioNTech,33212
Chile,1/19/2021,Pfizer/BioNTech,52569
Chile,1/20/2021,Pfizer/BioNTech,61878
Chile,1/21/2021,Pfizer/BioNTech,64939
Chile,1/22/2021,Pfizer/BioNTech,65351
Chile,1/23/2021,Pfizer/BioNTech,65351
Chile,1/24/2021,Pfizer/BioNTech,65351
Chile,1/25/2021,Pfizer/BioNTech,66771
Chile,1/26/2021,Pfizer/BioNTech,67387
Chile,1/27/2021,Pfizer/BioNTech,67422
Chile,1/28/2021,Pfizer/BioNTech,67422
Chile,1/29/2021,Pfizer/BioNTech,67427
Chile,1/30/2021,Pfizer/BioNTech,67428
Chile,1/31/2021,Pfizer/BioNTech,67428
Chile,2/1/2021,Pfizer/BioNTech,67428
Chile,2/2/2021,Pfizer/BioNTech,67434
Chile,2/2/2021,Sinovac,13191
Chile,2/3/2021,Pfizer/BioNTech,67434
Chile,2/3/2021,Sinovac,183549
Chile,2/4/2021,Pfizer/BioNTech,69562
Chile,2/4/2021,Sinovac,357556
Chile,2/5/2021,Pfizer/BioNTech,70250
Chile,2/5/2021,Sinovac,526218
Chile,2/6/2021,Pfizer/BioNTech,70255
Chile,2/6/2021,Sinovac,554069
Chile,2/7/2021,Pfizer/BioNTech,70256
Chile,2/7/2021,Sinovac,562706
Chile,2/8/2021,Pfizer/BioNTech,82046
Chile,2/8/2021,Sinovac,784114
Chile,2/9/2021,Pfizer/BioNTech,101500
Chile,2/9/2021,Sinovac,1026489
Chile,2/10/2021,Pfizer/BioNTech,109934
Chile,2/10/2021,Sinovac,1298871
Chile,2/11/2021,Pfizer/BioNTech,113003
Chile,2/11/2021,Sinovac,1549907
Chile,2/12/2021,Pfizer/BioNTech,113357
Chile,2/12/2021,Sinovac,1778986
Chile,2/13/2021,Pfizer/BioNTech,113391
Chile,2/13/2021,Sinovac,1808491
Chile,2/14/2021,Pfizer/BioNTech,113391
Chile,2/14/2021,Sinovac,1812956
Chile,2/15/2021,Pfizer/BioNTech,113392
Chile,2/15/2021,Sinovac,2078792
Chile,2/16/2021,Pfizer/BioNTech,113402
Chile,2/16/2021,Sinovac,2298771
Chile,2/17/2021,Pfizer/BioNTech,113402
Chile,2/17/2021,Sinovac,2486794
Chile,2/18/2021,Pfizer/BioNTech,113403
Chile,2/18/2021,Sinovac,2642036
Chile,2/19/2021,Pfizer/BioNTech,113403
Chile,2/19/2021,Sinovac,2784146
Chile,2/20/2021,Pfizer/BioNTech,113403
Chile,2/20/2021,Sinovac,2793785
Chile,2/21/2021,Pfizer/BioNTech,113403
Chile,2/21/2021,Sinovac,2794949
Chile,2/22/2021,Pfizer/BioNTech,125499
Chile,2/22/2021,Sinovac,2890983
Chile,2/23/2021,Pfizer/BioNTech,150347
Chile,2/23/2021,Sinovac,2960389
Chile,2/24/2021,Pfizer/BioNTech,178870
Chile,2/24/2021,Sinovac,3018062
Chile,2/25/2021,Pfizer/BioNTech,212585
Chile,2/25/2021,Sinovac,3070417
Chile,2/26/2021,Pfizer/BioNTech,242318
Chile,2/26/2021,Sinovac,3118909
Chile,2/27/2021,Pfizer/BioNTech,248642
Chile,2/27/2021,Sinovac,3122628
Chile,2/28/2021,Pfizer/BioNTech,248644
Chile,2/28/2021,Sinovac,3122981
Chile,3/1/2021,Pfizer/BioNTech,263548
Chile,3/1/2021,Sinovac,3245612
Chile,3/2/2021,Pfizer/BioNTech,294470
Chile,3/2/2021,Sinovac,3386044
Chile,3/3/2021,Pfizer/BioNTech,313027
Chile,3/3/2021,Sinovac,3679258
Chile,3/4/2021,Pfizer/BioNTech,322133
Chile,3/4/2021,Sinovac,3980557
Chile,3/5/2021,Pfizer/BioNTech,327887
Chile,3/5/2021,Sinovac,4272482
Chile,3/6/2021,Pfizer/BioNTech,328231
Chile,3/6/2021,Sinovac,4305897
Chile,3/7/2021,Pfizer/BioNTech,328337
Chile,3/7/2021,Sinovac,4313747
Chile,3/8/2021,Pfizer/BioNTech,340926
Chile,3/8/2021,Sinovac,4651569
Chile,3/9/2021,Pfizer/BioNTech,378518
Chile,3/9/2021,Sinovac,4990310
Chile,3/10/2021,Pfizer/BioNTech,420128
Chile,3/10/2021,Sinovac,5349827
Chile,3/11/2021,Pfizer/BioNTech,465820
Chile,3/11/2021,Sinovac,5720839
Chile,3/12/2021,Pfizer/BioNTech,483223
Chile,3/12/2021,Sinovac,6077567
Chile,3/13/2021,Pfizer/BioNTech,483777
Chile,3/13/2021,Sinovac,6127416
Chile,3/14/2021,Pfizer/BioNTech,483777
Chile,3/14/2021,Sinovac,6133992
Chile,3/15/2021,Pfizer/BioNTech,507668
Chile,3/15/2021,Sinovac,6540087
Chile,3/16/2021,Pfizer/BioNTech,561180
Chile,3/16/2021,Sinovac,6896402
Chile,3/17/2021,Pfizer/BioNTech,616687
Chile,3/17/2021,Sinovac,7207824
Chile,3/18/2021,Pfizer/BioNTech,666241
Chile,3/18/2021,Sinovac,7492962
Chile,3/19/2021,Pfizer/BioNTech,689399
Chile,3/19/2021,Sinovac,7764091
Chile,3/20/2021,Pfizer/BioNTech,691316
Chile,3/20/2021,Sinovac,7796349
Chile,3/21/2021,Pfizer/BioNTech,691326
Chile,3/21/2021,Sinovac,7800490
Chile,3/22/2021,Pfizer/BioNTech,727390
Chile,3/22/2021,Sinovac,8032652
Chile,3/23/2021,Pfizer/BioNTech,787250
Chile,3/23/2021,Sinovac,8213264
Chile,3/24/2021,Pfizer/BioNTech,840112
Chile,3/24/2021,Sinovac,8378874
Chile,3/25/2021,Pfizer/BioNTech,894691
Chile,3/25/2021,Sinovac,8536657
Chile,3/26/2021,Pfizer/BioNTech,932672
Chile,3/26/2021,Sinovac,8715307
Chile,3/27/2021,Pfizer/BioNTech,934700
Chile,3/27/2021,Sinovac,8728910
Chile,3/28/2021,Pfizer/BioNTech,934700
Chile,3/28/2021,Sinovac,8730298
Chile,3/29/2021,Pfizer/BioNTech,956713
Chile,3/29/2021,Sinovac,8974702
Chile,3/30/2021,Pfizer/BioNTech,1014157
Chile,3/30/2021,Sinovac,9195500
Chile,3/31/2021,Pfizer/BioNTech,1060287
Chile,3/31/2021,Sinovac,9428953
Chile,4/1/2021,Pfizer/BioNTech,1084049
Chile,4/1/2021,Sinovac,9707615
Chile,4/2/2021,Pfizer/BioNTech,1084268
Chile,4/2/2021,Sinovac,9714397
Chile,4/3/2021,Pfizer/BioNTech,1084458
Chile,4/3/2021,Sinovac,9717413
Chile,4/4/2021,Pfizer/BioNTech,1084458
Chile,4/4/2021,Sinovac,9718524
Chile,4/5/2021,Pfizer/BioNTech,1115398
Chile,4/5/2021,Sinovac,9971566
Chile,4/6/2021,Pfizer/BioNTech,1198125
Chile,4/6/2021,Sinovac,10128236
Chile,4/7/2021,Pfizer/BioNTech,1287189
Chile,4/7/2021,Sinovac,10271728
Chile,4/8/2021,Pfizer/BioNTech,1365155
Chile,4/8/2021,Sinovac,10432097
Chile,4/9/2021,Pfizer/BioNTech,1414049
Chile,4/9/2021,Sinovac,10600968
Chile,4/10/2021,Pfizer/BioNTech,1421752
Chile,4/10/2021,Sinovac,10619124
Chile,4/11/2021,Pfizer/BioNTech,1422256
Chile,4/11/2021,Sinovac,10621066
Chile,4/12/2021,Pfizer/BioNTech,1486883
Chile,4/12/2021,Sinovac,10792449
Chile,4/13/2021,Pfizer/BioNTech,1574465
Chile,4/13/2021,Sinovac,10938270
Chile,4/14/2021,Pfizer/BioNTech,1662703
Chile,4/14/2021,Sinovac,11076635
Chile,4/15/2021,Pfizer/BioNTech,1727268
Chile,4/15/2021,Sinovac,11207014
Czechia,12/27/2020,Pfizer/BioNTech,1250
Czechia,12/28/2020,Pfizer/BioNTech,3544
Czechia,12/29/2020,Pfizer/BioNTech,6987
Czechia,12/30/2020,Pfizer/BioNTech,10454
Czechia,12/31/2020,Pfizer/BioNTech,11759
Czechia,1/1/2021,Pfizer/BioNTech,12019
Czechia,1/2/2021,Pfizer/BioNTech,13268
Czechia,1/3/2021,Pfizer/BioNTech,14181
Czechia,1/4/2021,Pfizer/BioNTech,17747
Czechia,1/5/2021,Pfizer/BioNTech,22239
Czechia,1/6/2021,Pfizer/BioNTech,28051
Czechia,1/7/2021,Pfizer/BioNTech,36002
Czechia,1/8/2021,Pfizer/BioNTech,45925
Czechia,1/9/2021,Pfizer/BioNTech,47933
Czechia,1/10/2021,Pfizer/BioNTech,49656
Czechia,1/11/2021,Pfizer/BioNTech,59433
Czechia,1/12/2021,Pfizer/BioNTech,72782
Czechia,1/13/2021,Pfizer/BioNTech,86248
Czechia,1/14/2021,Moderna,1224
Czechia,1/14/2021,Pfizer/BioNTech,100185
Czechia,1/15/2021,Moderna,1981
Czechia,1/15/2021,Pfizer/BioNTech,113346
Czechia,1/16/2021,Moderna,2307
Czechia,1/16/2021,Pfizer/BioNTech,116393
Czechia,1/17/2021,Moderna,2396
Czechia,1/17/2021,Pfizer/BioNTech,119528
Czechia,1/18/2021,Moderna,2573
Czechia,1/18/2021,Pfizer/BioNTech,133528
Czechia,1/19/2021,Moderna,3347
Czechia,1/19/2021,Pfizer/BioNTech,147885
Czechia,1/20/2021,Moderna,4924
Czechia,1/20/2021,Pfizer/BioNTech,162461
Czechia,1/21/2021,Moderna,5880
Czechia,1/21/2021,Pfizer/BioNTech,178757
Czechia,1/22/2021,Moderna,6075
Czechia,1/22/2021,Pfizer/BioNTech,194321
Czechia,1/23/2021,Moderna,6115
Czechia,1/23/2021,Pfizer/BioNTech,198413
Czechia,1/24/2021,Moderna,6239
Czechia,1/24/2021,Pfizer/BioNTech,201389
Czechia,1/25/2021,Moderna,6436
Czechia,1/25/2021,Pfizer/BioNTech,213729
Czechia,1/26/2021,Moderna,6709
Czechia,1/26/2021,Pfizer/BioNTech,227888
Czechia,1/27/2021,Moderna,7009
Czechia,1/27/2021,Pfizer/BioNTech,241042
Czechia,1/28/2021,Moderna,7128
Czechia,1/28/2021,Pfizer/BioNTech,254029
Czechia,1/29/2021,Moderna,7279
Czechia,1/29/2021,Pfizer/BioNTech,267835
Czechia,1/30/2021,Moderna,7281
Czechia,1/30/2021,Pfizer/BioNTech,269629
Czechia,1/31/2021,Pfizer/BioNTech,271470
Czechia,2/1/2021,Moderna,7534
Czechia,2/1/2021,Pfizer/BioNTech,283012
Czechia,2/2/2021,Moderna,7861
Czechia,2/2/2021,Pfizer/BioNTech,296950
Czechia,2/3/2021,Moderna,8587
Czechia,2/3/2021,Pfizer/BioNTech,311543
Czechia,2/4/2021,Moderna,9722
Czechia,2/4/2021,Pfizer/BioNTech,328169
Czechia,2/5/2021,Moderna,10907
Czechia,2/5/2021,Pfizer/BioNTech,343002
Czechia,2/6/2021,Moderna,11163
Czechia,2/6/2021,Pfizer/BioNTech,345907
Czechia,2/7/2021,Moderna,11426
Czechia,2/7/2021,Pfizer/BioNTech,348956
Czechia,2/8/2021,Moderna,12331
Czechia,2/8/2021,Pfizer/BioNTech,363375
Czechia,2/9/2021,Moderna,13963
Czechia,2/9/2021,Pfizer/BioNTech,378609
Czechia,2/10/2021,Moderna,15703
Czechia,2/10/2021,Pfizer/BioNTech,395460
Czechia,2/11/2021,Moderna,19067
Czechia,2/11/2021,Oxford/AstraZeneca,230
Czechia,2/11/2021,Pfizer/BioNTech,414184
Czechia,2/12/2021,Moderna,21315
Czechia,2/12/2021,Oxford/AstraZeneca,624
Czechia,2/12/2021,Pfizer/BioNTech,432828
Czechia,2/13/2021,Moderna,21797
Czechia,2/13/2021,Oxford/AstraZeneca,1045
Czechia,2/13/2021,Pfizer/BioNTech,436445
Czechia,2/14/2021,Moderna,22045
Czechia,2/14/2021,Oxford/AstraZeneca,1247
Czechia,2/14/2021,Pfizer/BioNTech,438348
Czechia,2/15/2021,Moderna,23436
Czechia,2/15/2021,Oxford/AstraZeneca,2006
Czechia,2/15/2021,Pfizer/BioNTech,451854
Czechia,2/16/2021,Moderna,25901
Czechia,2/16/2021,Oxford/AstraZeneca,3140
Czechia,2/16/2021,Pfizer/BioNTech,465794
Czechia,2/17/2021,Moderna,28566
Czechia,2/17/2021,Oxford/AstraZeneca,5155
Czechia,2/17/2021,Pfizer/BioNTech,478916
Czechia,2/18/2021,Moderna,30912
Czechia,2/18/2021,Oxford/AstraZeneca,7111
Czechia,2/18/2021,Pfizer/BioNTech,494807
Czechia,2/19/2021,Moderna,32291
Czechia,2/19/2021,Oxford/AstraZeneca,8795
Czechia,2/19/2021,Pfizer/BioNTech,510669
Czechia,2/20/2021,Moderna,32294
Czechia,2/20/2021,Oxford/AstraZeneca,9421
Czechia,2/20/2021,Pfizer/BioNTech,513114
Czechia,2/21/2021,Moderna,32391
Czechia,2/21/2021,Oxford/AstraZeneca,9610
Czechia,2/21/2021,Pfizer/BioNTech,514848
Czechia,2/22/2021,Moderna,33388
Czechia,2/22/2021,Oxford/AstraZeneca,11211
Czechia,2/22/2021,Pfizer/BioNTech,528273
Czechia,2/23/2021,Moderna,34169
Czechia,2/23/2021,Oxford/AstraZeneca,13893
Czechia,2/23/2021,Pfizer/BioNTech,544485
Czechia,2/24/2021,Moderna,35493
Czechia,2/24/2021,Oxford/AstraZeneca,16804
Czechia,2/24/2021,Pfizer/BioNTech,559980
Czechia,2/25/2021,Moderna,36670
Czechia,2/25/2021,Oxford/AstraZeneca,21087
Czechia,2/25/2021,Pfizer/BioNTech,577860
Czechia,2/26/2021,Moderna,37451
Czechia,2/26/2021,Oxford/AstraZeneca,24357
Czechia,2/26/2021,Pfizer/BioNTech,595047
Czechia,2/27/2021,Moderna,37622
Czechia,2/27/2021,Oxford/AstraZeneca,24969
Czechia,2/27/2021,Pfizer/BioNTech,597738
Czechia,2/28/2021,Moderna,37814
Czechia,2/28/2021,Oxford/AstraZeneca,25431
Czechia,2/28/2021,Pfizer/BioNTech,599950
Czechia,3/1/2021,Moderna,39457
Czechia,3/1/2021,Oxford/AstraZeneca,29346
Czechia,3/1/2021,Pfizer/BioNTech,617079
Czechia,3/2/2021,Moderna,41312
Czechia,3/2/2021,Oxford/AstraZeneca,38387
Czechia,3/2/2021,Pfizer/BioNTech,636409
Czechia,3/3/2021,Moderna,45010
Czechia,3/3/2021,Oxford/AstraZeneca,47832
Czechia,3/3/2021,Pfizer/BioNTech,658037
Czechia,3/4/2021,Moderna,49656
Czechia,3/4/2021,Oxford/AstraZeneca,56801
Czechia,3/4/2021,Pfizer/BioNTech,681642
Czechia,3/5/2021,Moderna,53229
Czechia,3/5/2021,Oxford/AstraZeneca,64953
Czechia,3/5/2021,Pfizer/BioNTech,703658
Czechia,3/6/2021,Moderna,54613
Czechia,3/6/2021,Oxford/AstraZeneca,69320
Czechia,3/6/2021,Pfizer/BioNTech,710672
Czechia,3/7/2021,Moderna,55886
Czechia,3/7/2021,Oxford/AstraZeneca,73473
Czechia,3/7/2021,Pfizer/BioNTech,717412
Czechia,3/8/2021,Moderna,58955
Czechia,3/8/2021,Oxford/AstraZeneca,81225
Czechia,3/8/2021,Pfizer/BioNTech,740802
Czechia,3/9/2021,Moderna,64214
Czechia,3/9/2021,Oxford/AstraZeneca,92123
Czechia,3/9/2021,Pfizer/BioNTech,766762
Czechia,3/10/2021,Moderna,69166
Czechia,3/10/2021,Oxford/AstraZeneca,102736
Czechia,3/10/2021,Pfizer/BioNTech,798882
Czechia,3/11/2021,Moderna,73424
Czechia,3/11/2021,Oxford/AstraZeneca,114238
Czechia,3/11/2021,Pfizer/BioNTech,835720
Czechia,3/12/2021,Moderna,78797
Czechia,3/12/2021,Oxford/AstraZeneca,126253
Czechia,3/12/2021,Pfizer/BioNTech,864943
Czechia,3/13/2021,Moderna,80057
Czechia,3/13/2021,Oxford/AstraZeneca,129208
Czechia,3/13/2021,Pfizer/BioNTech,878916
Czechia,3/14/2021,Moderna,81189
Czechia,3/14/2021,Oxford/AstraZeneca,130110
Czechia,3/14/2021,Pfizer/BioNTech,890018
Czechia,3/15/2021,Moderna,87946
Czechia,3/15/2021,Oxford/AstraZeneca,138020
Czechia,3/15/2021,Pfizer/BioNTech,912013
Czechia,3/16/2021,Moderna,97068
Czechia,3/16/2021,Oxford/AstraZeneca,146517
Czechia,3/16/2021,Pfizer/BioNTech,943211
Czechia,3/17/2021,Moderna,104763
Czechia,3/17/2021,Oxford/AstraZeneca,155327
Czechia,3/17/2021,Pfizer/BioNTech,974194
Czechia,3/18/2021,Moderna,111883
Czechia,3/18/2021,Oxford/AstraZeneca,164356
Czechia,3/18/2021,Pfizer/BioNTech,1007808
Czechia,3/19/2021,Moderna,117913
Czechia,3/19/2021,Oxford/AstraZeneca,172921
Czechia,3/19/2021,Pfizer/BioNTech,1040614
Czechia,3/20/2021,Moderna,119050
Czechia,3/20/2021,Oxford/AstraZeneca,175255
Czechia,3/20/2021,Pfizer/BioNTech,1054039
Czechia,3/21/2021,Moderna,119355
Czechia,3/21/2021,Oxford/AstraZeneca,175708
Czechia,3/21/2021,Pfizer/BioNTech,1062116
Czechia,3/22/2021,Moderna,123435
Czechia,3/22/2021,Oxford/AstraZeneca,182385
Czechia,3/22/2021,Pfizer/BioNTech,1087542
Czechia,3/23/2021,Moderna,127174
Czechia,3/23/2021,Oxford/AstraZeneca,189770
Czechia,3/23/2021,Pfizer/BioNTech,1115555
Czechia,3/24/2021,Moderna,131278
Czechia,3/24/2021,Oxford/AstraZeneca,197316
Czechia,3/24/2021,Pfizer/BioNTech,1145891
Czechia,3/25/2021,Moderna,135299
Czechia,3/25/2021,Oxford/AstraZeneca,204649
Czechia,3/25/2021,Pfizer/BioNTech,1178212
Czechia,3/26/2021,Moderna,137797
Czechia,3/26/2021,Oxford/AstraZeneca,210142
Czechia,3/26/2021,Pfizer/BioNTech,1211848
Czechia,3/27/2021,Moderna,139032
Czechia,3/27/2021,Oxford/AstraZeneca,210974
Czechia,3/27/2021,Pfizer/BioNTech,1222798
Czechia,3/28/2021,Moderna,140579
Czechia,3/28/2021,Oxford/AstraZeneca,211067
Czechia,3/28/2021,Pfizer/BioNTech,1230692
Czechia,3/29/2021,Moderna,146496
Czechia,3/29/2021,Oxford/AstraZeneca,214732
Czechia,3/29/2021,Pfizer/BioNTech,1260361
Czechia,3/30/2021,Moderna,155295
Czechia,3/30/2021,Oxford/AstraZeneca,219959
Czechia,3/30/2021,Pfizer/BioNTech,1292623
Czechia,3/31/2021,Moderna,166110
Czechia,3/31/2021,Oxford/AstraZeneca,224793
Czechia,3/31/2021,Pfizer/BioNTech,1326272
Czechia,4/1/2021,Moderna,176553
Czechia,4/1/2021,Oxford/AstraZeneca,229088
Czechia,4/1/2021,Pfizer/BioNTech,1368132
Czechia,4/2/2021,Moderna,179080
Czechia,4/2/2021,Oxford/AstraZeneca,229586
Czechia,4/2/2021,Pfizer/BioNTech,1384442
Czechia,4/3/2021,Moderna,180796
Czechia,4/3/2021,Oxford/AstraZeneca,229763
Czechia,4/3/2021,Pfizer/BioNTech,1396830
Czechia,4/4/2021,Moderna,181987
Czechia,4/4/2021,Oxford/AstraZeneca,229764
Czechia,4/4/2021,Pfizer/BioNTech,1406783
Czechia,4/5/2021,Moderna,183364
Czechia,4/5/2021,Oxford/AstraZeneca,229829
Czechia,4/5/2021,Pfizer/BioNTech,1414728
Czechia,4/6/2021,Moderna,191720
Czechia,4/6/2021,Oxford/AstraZeneca,232659
Czechia,4/6/2021,Pfizer/BioNTech,1448248
Czechia,4/7/2021,Moderna,199989
Czechia,4/7/2021,Oxford/AstraZeneca,240378
Czechia,4/7/2021,Pfizer/BioNTech,1476946
Czechia,4/8/2021,Moderna,206023
Czechia,4/8/2021,Oxford/AstraZeneca,251222
Czechia,4/8/2021,Pfizer/BioNTech,1527822
Czechia,4/9/2021,Moderna,213351
Czechia,4/9/2021,Oxford/AstraZeneca,261874
Czechia,4/9/2021,Pfizer/BioNTech,1577153
Czechia,4/10/2021,Moderna,214864
Czechia,4/10/2021,Oxford/AstraZeneca,265128
Czechia,4/10/2021,Pfizer/BioNTech,1602380
Czechia,4/11/2021,Moderna,215996
Czechia,4/11/2021,Oxford/AstraZeneca,265617
Czechia,4/11/2021,Pfizer/BioNTech,1620196
Czechia,4/12/2021,Moderna,224360
Czechia,4/12/2021,Oxford/AstraZeneca,273954
Czechia,4/12/2021,Pfizer/BioNTech,1665027
Czechia,4/13/2021,Moderna,234735
Czechia,4/13/2021,Oxford/AstraZeneca,282843
Czechia,4/13/2021,Pfizer/BioNTech,1706209
Czechia,4/14/2021,Moderna,244954
Czechia,4/14/2021,Oxford/AstraZeneca,292342
Czechia,4/14/2021,Pfizer/BioNTech,1751003
Czechia,4/15/2021,Moderna,253968
Czechia,4/15/2021,Oxford/AstraZeneca,300836
Czechia,4/15/2021,Pfizer/BioNTech,1804378
Czechia,4/16/2021,Moderna,262901
Czechia,4/16/2021,Oxford/AstraZeneca,307030
Czechia,4/16/2021,Pfizer/BioNTech,1855009
Czechia,4/17/2021,Moderna,265238
Czechia,4/17/2021,Oxford/AstraZeneca,307576
Czechia,4/17/2021,Pfizer/BioNTech,1876084
Germany,12/27/2020,Moderna,0
Germany,12/27/2020,Oxford/AstraZeneca,0
Germany,12/27/2020,Pfizer/BioNTech,24296
Germany,12/28/2020,Moderna,0
Germany,12/28/2020,Oxford/AstraZeneca,0
Germany,12/28/2020,Pfizer/BioNTech,42679
Germany,12/29/2020,Moderna,0
Germany,12/29/2020,Oxford/AstraZeneca,0
Germany,12/29/2020,Pfizer/BioNTech,91810
Germany,12/30/2020,Moderna,0
Germany,12/30/2020,Oxford/AstraZeneca,0
Germany,12/30/2020,Pfizer/BioNTech,153641
Germany,12/31/2020,Moderna,0
Germany,12/31/2020,Oxford/AstraZeneca,0
Germany,12/31/2020,Pfizer/BioNTech,203328
Germany,1/1/2021,Moderna,0
Germany,1/1/2021,Oxford/AstraZeneca,1
Germany,1/1/2021,Pfizer/BioNTech,222598
Germany,1/2/2021,Moderna,0
Germany,1/2/2021,Oxford/AstraZeneca,1
Germany,1/2/2021,Pfizer/BioNTech,275459
Germany,1/3/2021,Moderna,0
Germany,1/3/2021,Oxford/AstraZeneca,1
Germany,1/3/2021,Pfizer/BioNTech,299610
Germany,1/4/2021,Moderna,0
Germany,1/4/2021,Oxford/AstraZeneca,1
Germany,1/4/2021,Pfizer/BioNTech,347960
Germany,1/5/2021,Moderna,1
Germany,1/5/2021,Oxford/AstraZeneca,1
Germany,1/5/2021,Pfizer/BioNTech,401456
Germany,1/6/2021,Moderna,7
Germany,1/6/2021,Oxford/AstraZeneca,3
Germany,1/6/2021,Pfizer/BioNTech,464446
Germany,1/7/2021,Moderna,11
Germany,1/7/2021,Oxford/AstraZeneca,3
Germany,1/7/2021,Pfizer/BioNTech,520578
Germany,1/8/2021,Moderna,59
Germany,1/8/2021,Oxford/AstraZeneca,3
Germany,1/8/2021,Pfizer/BioNTech,584121
Germany,1/9/2021,Moderna,59
Germany,1/9/2021,Oxford/AstraZeneca,3
Germany,1/9/2021,Pfizer/BioNTech,645351
